ID,Date,Company,Title,Location,Link
19,2024-02-13,Notion,"Software Engineer, Growth","San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-growth-at-notion-3600360354?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=vYrWF1cuv1gpsodBOQ89JA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
20,2023-06-28,Seam,Software Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-at-seam-3646360159?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=wpYth2aKt%2FWzZDNAyFHNLQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
21,2024-02-23,Arc,Full Stack Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/full-stack-engineer-at-arc-3837057307?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=YHFx%2F2zB%2BQYPbWCjXA5Mkw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
22,2024-01-18,ViralMoment,Junior Full Stack Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/junior-full-stack-engineer-at-viralmoment-3826323256?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=YJW4aXUN4MXLL7qHsuUnnw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
23,2024-01-11,Syndio,Front End Software Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/front-end-software-engineer-at-syndio-3802863519?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=FJz68lbGy58UCL2c5utPQQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
24,2023-06-02,Ponto,Backend Software Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/backend-software-engineer-at-ponto-3647560521?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=Cyl76h4ZZxW2%2FCHyCpliiA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
25,2024-02-09,IXL Learning,"Software Engineer, New Grad","San Mateo, CA",https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-ixl-learning-3794551843?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=c9ruRJtr%2FS3HnqgR0H9dIA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
26,2023-06-27,Check,Software Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-at-check-3673087302?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=6twSEksBhPbNR3STBs1Iog%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
27,2024-02-22,CoinList,"Software Engineer, Front End","San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-front-end-at-coinlist-3837215521?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=gtEwnEm3RdgMKFfHxf08Sg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
28,2024-02-23,Intrinsic,Frontend Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/frontend-engineer-at-intrinsic-3837055393?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=V%2Bz2txrMZ9Vdo0D2Moe75w%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
29,2024-02-13,DoorDash,"Software Engineer I, Frontend (Graduation Date Spring 2022-Winter 2023)","San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-i-frontend-graduation-date-spring-2022-winter-2023-at-doordash-3829527223?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=Y0pxb%2FP0Tt2xvZHy6v9bkA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
30,2024-01-25,OpenAI,"Software Engineer, Backend","San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-backend-at-openai-3679518015?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=lodkLrzeB%2FCHMB%2B8YnnO6Q%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
31,2024-01-17,Snorkel AI,Software Engineer — Recent University Graduate,"Redwood City, CA",https://www.linkedin.com/jobs/view/software-engineer-%E2%80%94-recent-university-graduate-at-snorkel-ai-3807990066?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=Kif0coI1qRgFrBQNTCOUEw%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
32,2024-01-02,Vellum,Software Engineer - Frontend / Fullstack,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-frontend-fullstack-at-vellum-3814655540?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=9f0wv%2Fm7dY2rVTe%2BqWnIRA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
33,2024-02-23,Axle Health,Software Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-at-axle-health-3837055444?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=guT5s4HG%2FnEqgs9B8GWjrw%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
34,2024-02-23,Acho,⌨️ Full-stack Software Development Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/%E2%8C%A8%EF%B8%8F-full-stack-software-development-engineer-at-acho-3837050935?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=p56uARJrZ8qIwQDrZLmr7A%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
35,2023-12-13,Neuralink,Software Engineer New Grad,"Fremont, CA",https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-neuralink-3783505709?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=8gzvPZqkKsFirdZ1mAY3Ug%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
36,2024-02-22,LinkedIn,"Software Engineer, Systems Infrastructure","Mountain View, CA",https://www.linkedin.com/jobs/view/software-engineer-systems-infrastructure-at-linkedin-3831538072?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=QEb%2BGP4pJ36uaxjr7dlJnQ%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
37,2023-12-24,Bun,"Software Engineer (JavaScript, contract/part-time)","San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-javascript-contract-part-time-at-bun-3809524294?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=FRL2Jv%2B2%2FACkN%2FwzL9%2Fw%2BQ%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
38,2024-02-22,Notion,"Software Engineer, Data Platform","San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-data-platform-at-notion-3817916631?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=dffccDN55S6OpLToo2VBAQ%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
39,2024-02-08,Glean,"Software Engineer, Frontend","Palo Alto, CA",https://www.linkedin.com/jobs/view/software-engineer-frontend-at-glean-3803622526?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=Swx539rwQi8e5r8u%2FIppJw%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
40,2024-01-18,Prezo,Software Engineer (Backend + AI),"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-backend-%2B-ai-at-prezo-3809703023?refId=6aynK3alLg3f3ZbH6JJ7bw%3D%3D&trackingId=M%2FjWsR1yUS0%2Bbki15iPQKg%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
