ID,Date,Company,Title,Location,Link
40,2024-02-22,Asana,"Staff Data Scientist, AI","San Francisco, CA",https://www.linkedin.com/jobs/view/staff-data-scientist-ai-at-asana-3736991568?refId=w5QmXrD469TLDDvf5tZhZA%3D%3D&trackingId=LzwZJPFS7di8QeDrdvB%2Fpw%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
41,2024-02-23,Netflix,Data Scientist (L5) - Ads (Ad Serving),"Los Gatos, CA",https://www.linkedin.com/jobs/view/data-scientist-l5-ads-ad-serving-at-netflix-3838908093?refId=w5QmXrD469TLDDvf5tZhZA%3D%3D&trackingId=z6DqoWN3zZqUkUSfbXZBFQ%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
42,2023-12-15,Lever Middleware Test Company 2,Data Scientist,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-lever-middleware-test-company-2-3787335455?refId=w5QmXrD469TLDDvf5tZhZA%3D%3D&trackingId=D0UCRyZb4zYGalskg%2BsZLg%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
43,2024-02-16,Cynch AI,AI Engineer - Machine Learning / NLP,"San Francisco, CA",https://www.linkedin.com/jobs/view/ai-engineer-machine-learning-nlp-at-cynch-ai-3831988118?refId=w5QmXrD469TLDDvf5tZhZA%3D%3D&trackingId=RjPH9x97XMj1pcSbNeSOSw%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
44,2024-02-22,Unlearn.AI,"Data Scientist, Clinical Data",San Francisco Bay Area,https://www.linkedin.com/jobs/view/data-scientist-clinical-data-at-unlearn-ai-3837184319?refId=w5QmXrD469TLDDvf5tZhZA%3D%3D&trackingId=TczefCsqittF3oqHyccs5g%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
45,2024-02-13,Sustainable Talent,Data Scientist,"Santa Clara, CA",https://www.linkedin.com/jobs/view/data-scientist-at-sustainable-talent-3829448650?refId=w5QmXrD469TLDDvf5tZhZA%3D%3D&trackingId=W4B8jk3cGRL5WyM4z9lsSg%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
46,2024-02-06,Meta,"Data Scientist, Product Analytics","Menlo Park, CA",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-3811309119?refId=w5QmXrD469TLDDvf5tZhZA%3D%3D&trackingId=lPw39qMl3zjAC26uMewsIQ%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
47,2024-02-21,"Machinify, Inc.",Data Scientist | Healthcare Data,"Palo Alto, CA",https://www.linkedin.com/jobs/view/data-scientist-healthcare-data-at-machinify-inc-3836985341?refId=w5QmXrD469TLDDvf5tZhZA%3D%3D&trackingId=g2O5tjb17KlGmUummJvdPQ%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
48,2024-02-02,Lithos Carbon,"Data Scientist, Agriculture or Geospatial","San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-agriculture-or-geospatial-at-lithos-carbon-3820923288?refId=w5QmXrD469TLDDvf5tZhZA%3D%3D&trackingId=lVdnuEXGZWc%2B0Wao4EgpkA%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
49,2024-02-16,Dexian,Data Scientist,"Cupertino, CA",https://www.linkedin.com/jobs/view/data-scientist-at-dexian-3828519532?refId=w5QmXrD469TLDDvf5tZhZA%3D%3D&trackingId=qR3fEKSrvvfolg7MKTt19g%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
50,2024-02-01,Ponce AI,Machine Learning Ops Engineer at AI image-to-image startup,"San Francisco, CA",https://www.linkedin.com/jobs/view/machine-learning-ops-engineer-at-ai-image-to-image-startup-at-ponce-ai-3819543515?refId=w5QmXrD469TLDDvf5tZhZA%3D%3D&trackingId=0Je90z%2BBwhmDeQ7dsTbXHw%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
